"vol","price","side","date time"
"32,200",18.85,ATO,2024-11-15 09:15:02
100,18.9,buy,2024-11-15 09:15:03
600,18.85,sell,2024-11-15 09:15:09
100,18.85,sell,2024-11-15 09:15:09
300,18.85,sell,2024-11-15 09:15:09
200,18.9,buy,2024-11-15 09:15:16
400,18.9,buy,2024-11-15 09:15:16
100,18.9,sell,2024-11-15 09:15:26
100,18.9,sell,2024-11-15 09:15:38
"2,200",18.9,sell,2024-11-15 09:15:40
500,18.9,sell,2024-11-15 09:15:41
"6,500",18.9,sell,2024-11-15 09:15:52
100,18.9,sell,2024-11-15 09:15:52
100,18.9,sell,2024-11-15 09:15:52
"1,000",18.9,buy,2024-11-15 09:16:13
200,18.9,buy,2024-11-15 09:16:17
500,18.9,buy,2024-11-15 09:16:20
200,18.9,buy,2024-11-15 09:17:05
100,18.9,buy,2024-11-15 09:17:10
"22,500",18.9,buy,2024-11-15 09:17:45
300,18.9,buy,2024-11-15 09:17:51
300,18.9,buy,2024-11-15 09:17:53
"8,200",18.9,buy,2024-11-15 09:17:56
"1,000",18.9,buy,2024-11-15 09:17:56
100,18.9,buy,2024-11-15 09:17:56
"2,300",18.9,buy,2024-11-15 09:17:56
500,18.9,buy,2024-11-15 09:17:56
"1,800",18.9,buy,2024-11-15 09:17:56
"1,000",18.9,buy,2024-11-15 09:17:56
200,18.9,buy,2024-11-15 09:17:56
100,18.9,buy,2024-11-15 09:17:56
"1,100",18.9,buy,2024-11-15 09:17:56
300,18.9,buy,2024-11-15 09:17:56
500,18.9,buy,2024-11-15 09:17:56
500,18.9,sell,2024-11-15 09:17:57
"4,900",18.9,sell,2024-11-15 09:18:05
100,18.9,buy,2024-11-15 09:18:06
100,18.9,sell,2024-11-15 09:18:22
"3,000",18.9,sell,2024-11-15 09:18:24
"5,000",18.9,sell,2024-11-15 09:18:33
500,18.9,sell,2024-11-15 09:18:43
400,18.9,sell,2024-11-15 09:18:54
100,18.9,sell,2024-11-15 09:18:54
"13,300",18.9,sell,2024-11-15 09:18:57
600,18.9,sell,2024-11-15 09:18:57
"1,000",18.9,sell,2024-11-15 09:18:57
100,18.9,sell,2024-11-15 09:18:57
"5,000",18.9,sell,2024-11-15 09:18:57
100,18.9,sell,2024-11-15 09:19:19
300,18.9,sell,2024-11-15 09:19:19
100,18.95,buy,2024-11-15 09:19:28
100,18.9,sell,2024-11-15 09:20:05
"1,000",18.9,sell,2024-11-15 09:20:20
500,18.9,sell,2024-11-15 09:20:35
500,18.9,sell,2024-11-15 09:20:49
100,18.95,buy,2024-11-15 09:21:01
400,18.9,sell,2024-11-15 09:21:14
"3,200",18.9,sell,2024-11-15 09:21:14
200,18.9,sell,2024-11-15 09:21:14
300,18.9,sell,2024-11-15 09:21:14
"5,000",18.9,sell,2024-11-15 09:21:14
300,18.9,sell,2024-11-15 09:21:14
100,18.9,sell,2024-11-15 09:21:14
"1,100",18.9,sell,2024-11-15 09:21:14
200,18.9,sell,2024-11-15 09:21:14
"22,500",18.9,sell,2024-11-15 09:21:14
100,18.9,sell,2024-11-15 09:21:14
"10,000",18.9,sell,2024-11-15 09:21:14
"6,000",18.9,sell,2024-11-15 09:21:14
"22,500",18.9,sell,2024-11-15 09:21:14
"6,000",18.9,sell,2024-11-15 09:21:14
"22,500",18.9,sell,2024-11-15 09:21:14
400,18.9,sell,2024-11-15 09:21:20
600,18.9,sell,2024-11-15 09:21:20
500,18.95,buy,2024-11-15 09:21:28
400,18.9,sell,2024-11-15 09:22:14
300,18.9,sell,2024-11-15 09:22:14
"3,000",18.9,sell,2024-11-15 09:22:14
"1,500",18.9,sell,2024-11-15 09:22:14
700,18.9,sell,2024-11-15 09:22:14
100,18.9,sell,2024-11-15 09:22:14
300,18.9,sell,2024-11-15 09:22:14
500,18.9,sell,2024-11-15 09:22:14
"1,000",18.9,sell,2024-11-15 09:22:14
"1,000",18.9,buy,2024-11-15 09:22:25
100,18.9,buy,2024-11-15 09:22:32
800,18.9,buy,2024-11-15 09:22:52
200,18.85,sell,2024-11-15 09:22:53
500,18.9,buy,2024-11-15 09:23:15
100,18.9,buy,2024-11-15 09:23:28
100,18.9,buy,2024-11-15 09:23:37
100,18.9,buy,2024-11-15 09:23:52
"18,000",18.9,buy,2024-11-15 09:23:55
500,18.9,buy,2024-11-15 09:24:12
100,18.9,buy,2024-11-15 09:24:16
600,18.9,buy,2024-11-15 09:24:18
"6,000",18.9,buy,2024-11-15 09:24:24
100,18.9,buy,2024-11-15 09:24:39
100,18.9,buy,2024-11-15 09:25:00
500,18.85,sell,2024-11-15 09:25:12
500,18.9,buy,2024-11-15 09:25:38
700,18.9,buy,2024-11-15 09:25:55
200,18.9,buy,2024-11-15 09:26:11
200,18.9,buy,2024-11-15 09:26:22
100,18.9,buy,2024-11-15 09:26:32
"10,000",18.9,buy,2024-11-15 09:26:36
100,18.9,buy,2024-11-15 09:26:41
100,18.9,buy,2024-11-15 09:26:58
"5,300",18.9,buy,2024-11-15 09:27:19
100,18.9,buy,2024-11-15 09:27:24
100,18.9,buy,2024-11-15 09:27:36
"11,700",18.9,buy,2024-11-15 09:27:58
900,18.9,buy,2024-11-15 09:27:58
"4,000",18.9,buy,2024-11-15 09:27:58
"1,900",18.9,buy,2024-11-15 09:27:58
100,18.9,buy,2024-11-15 09:27:58
500,18.9,buy,2024-11-15 09:27:58
"7,900",18.9,buy,2024-11-15 09:27:58
200,18.9,buy,2024-11-15 09:28:18
300,18.9,buy,2024-11-15 09:28:18
200,18.9,buy,2024-11-15 09:28:38
100,18.9,buy,2024-11-15 09:29:06
100,18.9,buy,2024-11-15 09:29:18
100,18.9,buy,2024-11-15 09:29:35
100,18.85,sell,2024-11-15 09:29:43
100,18.85,sell,2024-11-15 09:29:43
500,18.85,sell,2024-11-15 09:29:43
"2,000",18.85,sell,2024-11-15 09:29:43
300,18.85,sell,2024-11-15 09:29:43
200,18.85,sell,2024-11-15 09:30:42
200,18.85,sell,2024-11-15 09:30:42
"3,000",18.85,sell,2024-11-15 09:30:54
"10,000",18.85,sell,2024-11-15 09:31:13
300,18.85,sell,2024-11-15 09:31:17
"1,000",18.85,sell,2024-11-15 09:31:36
"2,000",18.85,sell,2024-11-15 09:31:42
"1,000",18.85,sell,2024-11-15 09:31:43
"1,100",18.85,sell,2024-11-15 09:31:50
200,18.9,buy,2024-11-15 09:31:53
"1,400",18.85,sell,2024-11-15 09:31:54
900,18.85,sell,2024-11-15 09:31:54
"2,000",18.85,sell,2024-11-15 09:31:58
"2,900",18.85,sell,2024-11-15 09:31:59
900,18.9,buy,2024-11-15 09:32:08
200,18.9,buy,2024-11-15 09:32:08
200,18.9,buy,2024-11-15 09:32:08
700,18.9,buy,2024-11-15 09:32:08
100,18.9,buy,2024-11-15 09:32:09
"3,000",18.85,sell,2024-11-15 09:32:17
300,18.9,buy,2024-11-15 09:32:17
